Variety,Fv,qN_Fo,Fm,H2OS/H2OR,RH_S/RH_R
2L2025,296.5381851,1.417503867,402.9447937,1.021103672,1.021593555
Canadensis ,465.6767235,1.27277649,590.9477845,1.037287587,1.037788437
Danhong,350.1319199,1.537589421,544.7670288,1.00947722,1.009901393
DD102-4,470.380846,1.243973028,583.7099915,1.097546254,1.096838355
Flevo,473.5804787,1.318725942,621.5926972,1.016491503,1.016703454
I-214,575.3413219,1.228876564,706.985672,1.055283064,1.055383217
I-45-51,451.2913265,1.262079889,567.3996277,1.057989058,1.057996524
I-63,482.3004608,1.426479698,691.960968,1.049383715,1.049120487
I-69,402.2439652,1.487732926,601.9098587,1.023104385,1.023424453
I-72,404.9507294,1.528221309,617.7488862,1.016864798,1.017227181
Juba,316.1739807,1.611527601,511.9998474,1.014922831,1.015283313
LH04-13,374.7441597,1.359290781,495.9050446,1.032266013,1.032952961
LH04-17,467.8761616,1.255602633,586.0302429,1.052245261,1.05226529
LS68,441.1681214,1.274443445,559.9017868,1.006657201,1.007644731
LS81,406.2847786,1.356028085,548.9426193,0.995108784,0.993917779
Lushan,395.8343697,1.273043143,503.8093262,0.974502941,0.972352097
Ningshanica,483.1794872,1.263171275,608.5026703,1.023660143,1.025966242
NL895,424.0193882,1.303623052,552.8463287,1.004952059,1.0034457
Raspalje,448.1123963,1.464203176,647.5167999,1.025911971,1.02597512
Triplo,527.7604485,1.220949493,643.5556641,1.101223797,1.098469376
